id,amount,sale_date,customer_name
ORD1001,3269.25,2026-08-01,Arjun Nair
ORD1002,1375.48,2026-08-05,Sneha Gupta
ORD1003,3448.16,2026-08-29,Ritu Malhotra
ORD1004,617.31,2026-08-14,Priya Verma
ORD1005,343.03,2026-08-07,Neha Joshi
ORD1006,2625.71,2026-08-01,Ritu Malhotra
ORD1007,1154.42,2026-08-21,Ritu Malhotra
ORD1008,2213.7,2026-08-15,Suresh Menon
ORD1009,1535.32,2026-08-28,Rohan Sharma
ORD1010,3842.28,2026-08-06,Meera Pillai
ORD1011,1833.2,2026-08-05,Karan Kapoor
ORD1012,4794.62,2026-08-11,Sneha Gupta
ORD1013,645.18,2026-08-04,Pooja Bhatt
ORD1014,4267.97,2026-08-20,Arjun Nair
ORD1015,4074.22,2026-08-24,Aditya Desai
ORD1016,2773.89,2026-08-30,Sanjay Kulkarni
ORD1017,578.24,2026-08-10,Isha Kapoor
ORD1018,4450.17,2026-08-12,Suresh Menon
ORD1019,1122.99,2026-08-03,Priya Verma
ORD1020,3374.06,2026-08-25,Divya Iyer
ORD1021,4929.06,2026-08-28,Neha Joshi
ORD1022,4359.12,2026-08-13,Arjun Nair
ORD1023,2376.37,2026-08-27,Pooja Bhatt
ORD1024,980.74,2026-08-12,Karan Kapoor
ORD1025,3416.84,2026-08-23,Amit Singh
ORD1026,3123.83,2026-08-06,Ritu Malhotra
ORD1027,3699.81,2026-08-06,Aditya Desai
ORD1028,2021.39,2026-08-30,Ritu Malhotra
ORD1029,1254.15,2026-08-11,Priya Verma
ORD1030,1299.43,2026-08-02,Rahul Chawla
ORD1031,2125.59,2026-08-03,Karan Kapoor
ORD1032,4583.05,2026-08-19,Rahul Chawla
ORD1033,1220.61,2026-08-16,Sanjay Kulkarni
ORD1034,4446.48,2026-08-21,Aditya Desai
ORD1035,885.78,2026-08-05,Neha Joshi
ORD1036,3775.95,2026-08-18,Arjun Nair
ORD1037,3785.67,2026-08-14,Suresh Menon
ORD1038,2117.12,2026-08-08,Vikram Rao
ORD1039,2645.73,2026-08-03,Priya Verma
ORD1040,4333.29,2026-08-05,Anjali Mehta
ORD1041,4001.98,2026-08-14,Isha Kapoor
ORD1042,504.93,2026-08-13,Isha Kapoor
ORD1043,4981.38,2026-08-17,Arjun Nair
ORD1044,4861.18,2026-08-28,Rohan Sharma
ORD1045,3465.36,2026-08-04,Ritu Malhotra
ORD1046,3804.21,2026-08-25,Rahul Chawla
ORD1047,735.45,2026-08-14,Anjali Mehta
ORD1048,2377.87,2026-08-31,Arjun Nair
ORD1049,4865.06,2026-08-25,Anjali Mehta
ORD1050,2636.87,2026-08-04,Divya Iyer
